"dateformat_hour","count"
7,"140"
8,"132"
9,"136"
10,"129"
11,"136"
12,"136"
13,"133"
14,"140"
15,"132"
16,"140"
17,"137"
18,"223"
19,"211"
20,"147"
21,"136"
7,"131"
8,"144"
9,"141"
10,"145"
11,"140"
12,"148"
13,"140"
14,"130"
15,"130"
16,"131"
17,"145"
18,"215"
19,"208"
20,"131"
21,"149"
7,"143"
8,"140"
9,"140"
10,"134"
11,"138"
12,"144"
13,"144"
14,"127"
15,"138"
16,"138"
17,"144"
18,"201"
19,"208"
20,"143"
21,"135"
7,"194"
8,"163"
9,"140"
10,"126"
11,"132"
12,"131"
13,"136"
14,"130"
15,"144"
16,"123"
17,"141"
18,"212"
19,"195"
20,"150"
21,"127"
7,"137"
8,"145"
9,"140"
10,"129"
11,"149"
12,"139"
13,"138"
14,"133"
15,"127"
16,"134"
17,"152"
18,"214"
19,"203"
20,"140"
21,"124"
7,"147"
8,"149"
9,"150"
10,"139"
11,"142"
12,"132"
13,"140"
14,"148"
15,"137"
16,"142"
17,"134"
18,"202"
19,"213"
20,"140"
21,"129"
7,"149"
8,"146"
9,"135"
10,"133"
11,"144"
12,"136"
13,"139"
14,"148"
15,"136"
16,"132"
17,"145"
18,"217"
19,"223"
20,"137"
21,"141"
7,"160"
8,"135"
9,"133"
10,"132"
11,"138"
12,"130"
13,"133"
14,"135"
15,"139"
16,"141"
17,"139"
18,"208"
19,"207"
20,"130"
21,"137"
7,"138"
8,"152"
9,"142"
10,"136"
11,"141"
12,"138"
13,"144"
14,"145"
15,"134"
16,"140"
17,"128"
18,"214"
19,"217"
20,"146"
21,"131"
7,"145"
8,"136"
9,"129"
10,"145"
11,"124"
12,"132"
13,"129"
14,"137"
15,"135"
16,"139"
17,"132"
18,"207"
19,"206"
20,"140"
21,"124"
7,"99"
8,"99"
9,"93"
10,"93"
11,"89"
12,"97"
13,"93"
14,"98"
15,"95"
16,"95"
17,"89"
18,"130"
19,"125"
20,"96"
21,"89"
